Date,Name,Year,Letterboxd URI
2021-11-13,Stroszek,1977,https://boxd.it/1Td6
2021-11-14,Hardcore,1979,https://boxd.it/XyA
2021-11-14,American Gigolo,1980,https://boxd.it/26l8
2021-11-14,Light Sleeper,1992,https://boxd.it/1aKa
2021-11-15,Slaughterhouse-Five,1972,https://boxd.it/1xrU
2021-11-16,Rapture,1979,https://boxd.it/24f8
2021-11-20,Medium Cool,1969,https://boxd.it/WsQ
2021-11-28,I Walked with a Zombie,1943,https://boxd.it/1stm
2021-11-28,The Seventh Victim,1943,https://boxd.it/1CEY
2021-11-28,The Spiral Staircase,1946,https://boxd.it/1rLY
2021-11-28,Dead of Night,1945,https://boxd.it/1PQI
2021-11-28,Blood and Black Lace,1964,https://boxd.it/1qme
2021-11-28,The Cremator,1969,https://boxd.it/1H8y
2021-11-30,Autumn Sonata,1978,https://boxd.it/1Rio
2021-12-05,Alice Doesn't Live Here Anymore,1974,https://boxd.it/1KIa
2021-12-08,Four Sisters,1985,https://boxd.it/bFe0
2021-12-09,The Wind,2018,https://boxd.it/jK5I
2021-12-09,The Time to Live and the Time to Die,1985,https://boxd.it/Oc6
2021-12-10,The Thin Red Line,1998,https://boxd.it/1ZTM
2021-12-10,Bound,1996,https://boxd.it/1Z1g
2021-12-15,The Worst Person in the World,2021,https://boxd.it/oyws
2021-12-16,Let There Be Light,1946,https://boxd.it/36BC
2021-12-20,Exiled,2006,https://boxd.it/1Pn2
2021-12-27,Dolls,2002,https://boxd.it/29pi
2021-12-29,The White Tiger,2021,https://boxd.it/nhg6
2022-01-11,Free Solo,2018,https://boxd.it/iEEq
2022-01-14,Napoleon,2023,https://boxd.it/shJM
2022-01-18,Chizuko's Younger Sister,1991,https://boxd.it/5sRc
2022-01-28,Departures,2008,https://boxd.it/1JFa
2022-01-29,After Yang,2021,https://boxd.it/lx5a
2022-02-01,The Inheritance,1962,https://boxd.it/4Z88
2022-02-07,Amores Perros,2000,https://boxd.it/2bfu
